number,title,slug,batch,inventory,html_github,cdn_normalized,visual,r2_upload,integration,qa,publish,notes
1,Strategi Memasarkan Sekolah Islam (PPDB),strategi-memasarkan-sekolah-islam,pilot-01,complete,complete,complete,complete,uploaded,complete,passed,published,"URL R2 terverifikasi HTTP 200, image/webp, 182686 byte."
2,Panduan Pengembangan Kurikulum Sekolah Islam,panduan-pengembangan-kurikulum-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
3,Strategi Implementasi Pendidikan Karakter di Sekolah,strategi-implementasi-pendidikan-karakter-di-sekolah,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
4,Strategi Penanganan Tunggakan Sekolah,strategi-penanganan-tunggakan-sekolah,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
5,Pengembangan Diri untuk Guru Profesional,pengembangan-diri-untuk-guru-profesional,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
6,Menyelesaikan Masalah Siswa dengan Tenang Tanpa Amarah,menyelesaikan-masalah-siswa-dengan-tenang-tanpa-amarah,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
7,Murid Nurut Tanpa Harus Emosi,murid-nurut-tanpa-harus-emosi,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
8,Solusi Kesulitan Belajar dan Stres pada Siswa,solusi-kesulitan-belajar-dan-stres-pada-siswa,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
9,Strategi Levelisasi Guru,strategi-levelisasi-guru,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
10,100 Hari Pertama Mengajar,100-hari-pertama-mengajar,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
11,100 Hari Pertama Memimpin,100-hari-pertama-memimpin,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
12,100 Hari Pertama Wali Kelas - Membangun Budaya dan Kelas yang Kondusif,100-hari-pertama-wali-kelas-membangun-budaya-dan-kelas-yang-kondusif,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
13,Kiat Menjaga Kesehatan Mental Guru,kiat-menjaga-kesehatan-mental-guru,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
14,Strategi Teamwork Sekolah Islam,strategi-teamwork-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
15,Menjadi Guru Produktif,menjadi-guru-produktif,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
16,Komunikasi Efektif dan Manajemen Kelas,komunikasi-efektif-dan-manajemen-kelas,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
17,Mengembangkan Potensi Intelektual Anak,mengembangkan-potensi-intelektual-anak,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
18,Manajemen Guru di Sekolah Islam,manajemen-guru-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
19,Membangun Sekolah Islam Bilingual,membangun-sekolah-islam-bilingual,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
20,Supervisi Guru,supervisi-guru,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
21,KPI Sekolah Islam,kpi-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
22,TeacherBoost,teacherboost,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
23,Program Kerja Sekolah Islam,program-kerja-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
24,Kegiatan Sekolah Islam,kegiatan-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
25,Manajemen Sekolah Islam di Era Digital,manajemen-sekolah-islam-di-era-digital,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
26,Analisis SWOT Sekolah Islam,analisis-swot-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
27,MONEV Sekolah Islam,monev-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
28,Cara Ngajar Lebih Bermakna - Memahami Konsep dan Praktik Deep Learning,cara-ngajar-lebih-bermakna-memahami-konsep-dan-praktik-deep-learning,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
29,Strategi Implementasi Deep Learning di Sekolah Islam,strategi-implementasi-deep-learning-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
30,Desain Struktur Organisasi dan Jobdes - Optimalisasi Kinerja Tim di Sekolah Islam,desain-struktur-organisasi-dan-jobdes-optimalisasi-kinerja-tim-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
31,Pengelolaan Sekolah Islam Berbasis Mutu,pengelolaan-sekolah-islam-berbasis-mutu,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
32,16 Model Kepemimpinan - Strategi Efektif Memimpin Sekolah Islam,16-model-kepemimpinan-strategi-efektif-memimpin-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
33,13 Langkah Strategis dalam Manajemen SDM di Sekolah Islam,13-langkah-strategis-dalam-manajemen-sdm-di-sekolah-islam,backlog,complete,complete,complete,not-started,not-started,not-started,pending,pending,
